id,sample_id,input_fq1,input_fq2,output_dir
A10_1001000293,A10_1001000293,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A10_1001000293/A10_1001000293_S85_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A10_1001000293/A10_1001000293_S85_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A10_1001000295,A10_1001000295,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A10_1001000295/A10_1001000295_S227_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A10_1001000295/A10_1001000295_S227_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A11_1001000293,A11_1001000293,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A11_1001000293/A11_1001000293_S86_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A11_1001000293/A11_1001000293_S86_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A11_1001000294,A11_1001000294,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A11_1001000294/A11_1001000294_S158_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A11_1001000294/A11_1001000294_S158_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A11_1001000295,A11_1001000295,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A11_1001000295/A11_1001000295_S228_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A11_1001000295/A11_1001000295_S228_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A12_1001000292,A12_1001000292,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A12_1001000292/A12_1001000292_S10_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A12_1001000292/A12_1001000292_S10_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A12_1001000293,A12_1001000293,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A12_1001000293/A12_1001000293_S87_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A12_1001000293/A12_1001000293_S87_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A12_1001000295,A12_1001000295,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A12_1001000295/A12_1001000295_S229_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A12_1001000295/A12_1001000295_S229_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A1_1001000292,A1_1001000292,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A1_1001000292/A1_1001000292_S1_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A1_1001000292/A1_1001000292_S1_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
A1_1001000295,A1_1001000295,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A1_1001000295/A1_1001000295_S218_R1_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/170125/A1_1001000295/A1_1001000295_S218_R2_001.fastq.gz,s3://darmanis-group/singlecell_lungadeno/immuneCells_9.27/STAR-fus_out/
