cellName,fusionPresent_bool
K5_B001016,0
A14_B002073,0
D14_1001000339,0
A10_1001000329,0
E9_1001000408,0
O21_B003775,0
M21_1001000408,0
E7_B003528,0
F5_B003775,0
C20_B001474,0
A15_B003527,0
D6_B003125,0
D17_1001000407,0
E11_B003117,0
C8_1001000298,0
M18_B003093,0
G15_B001008,0
O20_1001000378,0
K22_1001000409,0
L11_B003115,0
H13_B003120,0
O21_B000883,0
B10_1001000412,0
I14_1001000409,0
L21_B001470,0
L16_1001000407,0
L15_B003187,0
G20_B003113,0
E19_B003097,0
H7_1001000408,0
N13_1001000408,0
L18_B003120,0
P18_B003046,0
D11_B003528,0
G2_B003659,0
M5_B001795,0
A12_B003048,0
A12_B003643,0
K22_B001543,0
A10_B003777,0
M19_B001474,0
H1_B001016,0
A7_B000862,0
H8_B003126,0
H16_B003523,0
K16_B003046,0
P19_B003776,0
M7_B003776,0
E1_B003529,0
D1_1001000293,0
B12_1001000407,0
O1_B003187,0
P5_B003894,0
G14_B003518,0
M23_B003125,0
G21_B003097,0
D18_B003113,0
H10_B001008,0
H15_1001000340,0
P13_B001556,0
K5_1001000411,0
J15_1001000412,0
A19_B001016,0
F2_B001016,0
M18_B003126,0
N2_B002073,0
C1_B003920,0
F4_B003121,0
E3_1001000407,0
L7_B003577,0
N14_B000863,0
O1_B003894,0
D19_1001000412,0
L16_B001016,0
H1_B001797,0
N15_B003920,0
K9_B001008,0
I22_B003129,0
N4_B001008,0
A8_B003071,0
I17_1001000409,0
K3_B002073,0
B3_B003518,0
I15_B003046,0
C8_B003920,0
L15_B003132,0
E7_B002073,0
B3_B003659,0
H16_B000420,0
P5_B001470,0
K14_B003132,0
L17_B001464,0
A12_1001000407,0
B13_B000420,0
P12_B003528,0
J12_B003643,0
A20_B000887,0
P19_1001000408,0
K16_B003116,0
A20_B001474,0
F5_B003187,0
C6_1001000295,0
H4_1001000315,0
H13_B000863,0
O9_B003067,0
B19_1001000408,0
O1_B002073,0
O10_1001000408,0
J1_B003117,0
J9_B002078,0
H20_B000420,0
O5_B002571,0
P5_B003125,0
O19_B003115,0
J7_B002074,0
A1_B000419,0
G9_B003080,0
H2_B000429,0
K5_B000863,0
K22_B003920,0
G12_1001000295,0
A14_B003126,0
M16_B003894,0
E5_B003126,0
N7_B001475,0
J7_1001000412,0
M21_B001008,0
N3_B001799,0
L19_B002573,0
F20_B003093,0
M2_1001000413,0
K13_B003115,0
L17_B001556,0
M14_B002074,0
P19_1001000378,0
L13_B003522,0
P6_B001464,0
N8_1001000408,0
H20_B002074,0
B7_B003117,0
I6_B003529,0
J8_1001000409,0
O20_B001608,0
A9_B002074,0
L17_B002571,0
O21_B003658,0
B14_B003648,0
H10_B001475,0
N21_1001000412,0
M5_B003116,0
C16_B003643,0
F14_B003776,0
D18_B003658,0
E1_B003920,0
P3_B001470,0
H3_B003080,0
C7_1001000407,0
M14_B003119,0
M20_B003126,0
B20_B002097,0
J6_B001464,0
M3_B003785,0
F5_B003777,0
P18_B003894,0
F2_1001000340,0
G16_B001008,0
O6_B003071,0
J3_B003048,0
A20_B002073,0
L4_B002090,0
F21_B001008,0
G16_B003527,0
H3_B002572,0
C13_B003577,0
L14_1001000412,0
I12_B003048,0
C20_B003112,0
H14_B001464,0
K15_B003048,0
L9_B003777,0
D18_B003577,0
M12_B003648,0
F22_B003529,0
L14_B003120,0
N8_B003070,0
F20_B003125,0
N22_B003132,0
L10_1001000407,0
J18_1001000340,0
J22_1001000378,0
G11_B000274,0
D21_B000274,0
H12_B003097,0
E9_B002073,0
J16_B001470,0
F5_B000863,0
N7_B003646,0
B21_B000276,0
O9_1001000408,0
P17_B001464,0
M1_B000861,0
H15_B003129,0
H16_B003577,0
P15_B001464,0
G5_1001000298,0
P4_B003775,0
D4_B003518,0
P8_B003070,0
E9_1001000296,0
B17_B000862,0
K2_B003894,0
D10_B003523,0
M4_B003125,0
P13_B001464,0
E2_B003920,0
B6_B001016,0
N17_B003115,0
H11_B001543,0
N18_B003647,0
P16_B000420,0
I1_B003577,0
O21_B001470,0
G12_1001000294,0
A10_B003775,0
E3_B001617,0
M3_B000262,0
M11_B001008,0
G6_B001016,0
F20_B003187,0
H13_B000860,0
E9_B003529,0
J15_B001008,0
C21_1001000409,0
K8_B003528,0
F16_B003527,0
M8_B003658,0
M2_B003776,0
C2_B000429,0
B3_B000863,0
D21_1001000340,0
B3_B001607,0
D5_1001000302,0
C7_B003643,0
G4_B003067,0
I2_B003776,0
D13_B003776,0
L21_B003126,0
G16_1001000412,0
A1_B000280,0
K20_B001464,0
H2_1001000295,0
B12_B001008,0
K20_B003659,0
G7_B003588,0
F21_1001000408,0
C7_B003121,0
J22_1001000410,0
A18_B003048,0
A13_B003528,0
M12_B003920,0
E13_B002078,0
J4_B003775,0
G11_1001000295,0
P1_B001016,0
C12_B003117,0
N7_B003775,0
L2_B001543,0
C14_B003776,0
D4_B002097,0
E2_B003529,0
B6_B003191,0
O13_B001008,0
F4_1001000294,0
I18_B003125,0
L17_B003116,0
I7_B003776,0
L1_B001797,0
L18_1001000407,0
P22_B003523,0
O19_B002571,0
P9_B003658,0
G5_B001474,0
N20_1001000378,0
J9_B003894,0
J5_B003523,0
J16_B001556,0
B1_B000280,0
E15_1001000340,0
H14_B003187,0
H10_B001608,0
C5_B001470,0
B4_1001000317,0
P10_B003777,0
C6_1001000317,0
B16_1001000408,0
J7_B002568,0
D16_B001016,0
P10_B003646,0
P12_B001543,0
I22_B000276,0
K13_B001474,0
N12_B003523,0
M21_1001000339,0
H8_1001000294,0
D9_B003894,0
L21_B003119,0
M15_B002572,0
M2_1001000407,0
B15_B003527,0
K6_B002074,0
G9_B003659,0
O10_B003527,0
L13_B003647,0
D11_B001475,0
I1_1001000409,0
K22_B002571,0
B1_B003117,0
D18_B003920,0
G3_B002090,0
C22_B002571,0
D12_B001545,0
A6_B003776,0
L16_B001008,0
G19_B003116,0
O7_1001000407,0
H4_B003121,0
G20_B003097,0
M5_B003920,0
I13_B003132,0
O2_B003785,0
E4_1001000376,0
K6_B003522,0
C21_B003776,0
B13_B001470,0
G4_B002074,0
A40_1001000000,0
N10_B003776,0
N3_B001016,0
M3_B003529,0
C12_B003126,0
I13_B001608,0
K10_B003191,0
P17_B003522,0
A8_1001000299,0
K18_B003067,0
O13_B001470,0
G16_B001556,0
H20_B003920,0
P13_B001008,0
J20_B002568,0
A4_B001607,0
J7_B003528,0
L13_1001000408,0
I3_B002074,0
G6_B001607,0
E14_B003776,0
L11_B003894,0
F22_1001000410,0
M9_B001475,0
A12_B000863,0
J1_B002078,0
N10_B003132,0
D20_B001475,0
F16_B001545,0
H6_B002078,0
I4_1001000340,0
N15_B003529,0
F10_B003126,0
G17_B000862,0
F18_B000861,0
H19_B003117,0
A21_1001000407,0
I5_B000278,0
L1_B003529,0
E15_B001474,0
H5_B003191,0
L11_B003119,0
J10_B003920,0
B7_B003529,0
F2_B000429,0
N10_1001000408,0
O21_B003112,0
G9_1001000408,0
H8_B000278,0
C8_B003775,0
A7_B003048,0
G5_1001000302,0
G20_B001475,0
C18_1001000378,0
G10_1001000298,0
C9_1001000294,0
B3_B003528,0
F13_B001545,0
A17_B003654,0
O14_1001000409,0
K5_B002074,0
D10_B002078,0
M20_B000276,0
D19_B002074,0
C3_B002074,0
D17_B003659,0
N1_1001000411,0
B4_1001000296,0
K7_B003119,0
J6_B003647,0
F17_B002074,0
B13_1001000412,0
F6_B003129,0
F12_B003120,0
G8_B001608,0
L1_B003077,0
N19_B003658,0
A10_1001000296,0
D18_B003126,0
F17_B003116,0
B7_B002572,0
F5_B001556,0
G16_B003121,0
I17_B003659,0
P17_B003191,0
K15_B000861,0
P11_B003658,0
G13_B003117,0
J2_B000430,0
K7_B003527,0
N7_B002074,0
P10_B003522,0
L20_B001543,0
E3_B000420,0
L9_1001000412,0
M6_B002571,0
H16_B002074,0
G14_B002573,0
F19_B003643,0
E8_B002571,0
G13_1001000410,0
C10_B001608,0
J15_B003113,0
K3_B003132,0
A3_B003129,0
I6_B003642,0
B16_B000860,0
L22_B003659,0
D22_B001543,0
A21_B001556,0
H19_B003523,0
M16_1001000412,0
N4_B003126,0
G6_B000860,0
N21_B001470,0
F2_1001000409,0
P18_B001474,0
N7_1001000412,0
D6_B003588,0
O22_B001475,0
G16_B002074,0
G4_B001008,0
I10_1001000409,0
A5_B003775,0
I12_1001000408,0
F7_B003191,0
L17_B003920,0
M14_B003046,0
O8_B003129,0
P9_B002097,0
A9_B001008,0
D5_1001000299,0
D21_B003093,0
A12_B001608,0
G20_B003080,0
O18_B000861,0
C1_1001000294,0
H10_B003119,0
M12_B002573,0
C9_B003894,0
B10_1001000296,0
L16_B003126,0
O5_B003125,0
E12_B003097,0
H5_B003115,0
G19_1001000408,0
B17_B001464,0
B7_B003126,0
M4_B003648,0
I20_B003648,0
B13_B003046,0
E14_B002571,0
C21_B003132,0
G10_B003588,0
M21_B000861,0
J21_B003528,0
B19_B003588,0
O2_B003529,0
I21_B002078,0
L1_B002097,0
E14_B003132,0
E6_1001000327,0
O21_B001608,0
M15_B003129,0
D5_1001000295,0
L2_B003658,0
D13_B003518,0
J17_B003046,0
L14_B002074,0
O3_1001000376,0
I17_1001000339,0
G22_B001016,0
H19_B003113,0
M20_B002097,0
H8_1001000340,0
D7_B003654,0
N8_B003129,0
G2_B000420,0
H2_B003523,0
E16_B003048,0
J9_B003775,0
K11_B003119,0
K18_B001608,0
I22_1001000410,0
D9_B003518,0
M17_B003776,0
A9_B001016,0
C12_B003129,0
I4_B001795,0
H12_B003116,0
N8_1001000409,0
K12_B003775,0
G11_B002573,0
J17_B003920,0
D5_B003894,0
H14_B003129,0
B6_B000420,0
G7_B000860,0
N10_B003070,0
B7_B003920,0
M18_B002573,0
M8_B000262,0
N20_B003116,0
P20_B003120,0
H15_B003120,0
A7_1001000296,0
N20_B002572,0
A2_B001470,0
E12_B001474,0
A74_1001000000,0
A5_B000862,0
A21_B000861,0
O11_B003648,0
G3_B003528,0
E9_1001000301,0
O3_B003126,0
B5_B001797,0
F12_B002573,0
H22_B001543,0
E2_1001000340,0
J2_B003518,0
D6_B003187,0
P15_B000420,0
P12_B003125,0
G3_B003071,0
C6_B001556,0
M7_B003132,0
B2_B001797,0
M22_1001000378,0
F16_B003528,0
F18_B001475,0
N17_B001008,0
O5_B003071,0
B6_1001000410,0
